Gene_name_canonical,graph_localization_annotation
CDC27,nucleus
CDC27,nucleus
CDC34,cytosol
CDC37,cytosol
CDC37L1,cytosol
CDC40,nucleus
CDC42,plasma_membrane
CDC42BPA,actin_cytoskeleton
CDC42BPB,actin_cytoskeleton
CDC42BPB,actin_cytoskeleton
CDC42EP1,plasma_membrane
CDC42EP2,actin_cytoskeleton
CDC42EP3,unclassified
CDC42EP4,actin_cytoskeleton
CDC42SE2,plasma_membrane
CDC45,cytosol
CDC5L,nucleus
CDC6,nucleus
CDC7,nucleus
CDC73,nucleus
CDCA2,nucleus
CDCA3,plasma_membrane
CDCA5,nucleus
CDCA7,nucleus
CDCA7L,nucleus
CDCA8,nucleus
CDH1,plasma_membrane
CDH2,plasma_membrane
CDIN1,cytosol
CDIP1,ER
CDIPT,ER
CDK1,unclassified
CDK11A,cytosol
CDK11B,nucleus
CDK12,nucleus
CDK13,translation
CDK13,translation
CDK16,recycling_endosome
CDK17,unclassified
CDK18,cytosol
CDK2,unclassified
CDK2AP1,nucleus
CDK4,cytosol
CDK5,cytosol
CDK5RAP1,mitochondrion
CDK5RAP2,centrosome
CDK5RAP3,ER
CDK6,cytosol
CDK7,nucleus
CDK8,nucleus
CDK9,nucleus
CDKAL1,ER
CDKN1B,unclassified
CDKN2A,cytosol
CDKN2AIP,nucleus
CDKN2AIPNL,unclassified
CDKN2C,cytosol
CDO1,nucleus
CDON,plasma_membrane
CDR2,ER
CDR2L,14-3-3_scaffold
CDS1,ER
CDS2,ER
CDT1,nucleus
CDV3,unclassified
CDX2,nucleus
CDX2,nucleus
CDYL,nucleus
CEBPB,nucleus
CEBPG,nucleus
CEBPZ,nucleolus
CECR2,nucleus
CELF1,nucleus
CELSR2,plasma_membrane
CEMIP2,recycling_endosome
CENATAC,nucleus
CENPB,nucleus
CENPC,nucleus
CENPE,translation
CENPF,mitochondrion
CENPH,nucleus
CENPJ,14-3-3_scaffold
CENPK,nucleus
CENPL,nucleus
CENPM,unclassified
CENPN,nucleus
CENPO,nucleus
CENPP,nucleus
CENPQ,nucleus
CENPS,nucleus
CENPT,nucleus
CENPU,unclassified
CENPV,nucleus
CENPV,nucleus
CEP112,14-3-3_scaffold
CEP120,centrosome
CEP128,centrosome
CEP131,centrosome
CEP135,centrosome
CEP152,centrosome
CEP162,nucleus
CEP164,nucleus
CEP170,14-3-3_scaffold
CEP170,14-3-3_scaffold
CEP170,14-3-3_scaffold
CEP170B,14-3-3_scaffold
CEP192,centrosome
CEP250,centrosome
CEP290,centrosome
CEP295,nucleolus
CEP350,centrosome
CEP350,centrosome
CEP41,centrosome
CEP43,centrosome
CEP44,unclassified
CEP55,nucleus
CEP57,centrosome
CEP63,centrosome
CEP68,centrosome
CEP72,centrosome
CEP76,unclassified
CEP78,centrosome
CEP83,unclassified
CEP85,unclassified
CEP97,centrosome
CERK,recycling_endosome
CERS1,ER
CERS2,ER
CERS6,ER
CERT1,Golgi
CES3,ER
CETN2,unclassified
CETN3,centrosome
CFAP20,unclassified
CFAP298,unclassified
CFAP36,cytosol
CFAP410,14-3-3_scaffold
CFAP418,cytosol
CFAP97,unclassified
CFDP1,cytosol
CFL1,actin_cytoskeleton
CFL2,actin_cytoskeleton
CGGBP1,nucleolus
CGN,plasma_membrane
CHAC2,cytosol
CHAF1A,nucleus
CHAF1B,nucleus
CHAMP1,nucleus
CHCHD1,mitochondrion
CHCHD10,mitochondrion
CHCHD2,mitochondrion
CHCHD3,mitochondrion
CHCHD4,mitochondrion
CHCHD5,unclassified
CHCHD6,mitochondrion
CHD1,nucleus
CHD1L,ER
CHD2,nucleus
CHD3,nucleus
CHD3,nucleus
CHD4,nucleus
CHD6,nucleus
CHD7,nucleus
CHD8,nucleus
CHD9,nucleus
CHDH,mitochondrion
CHEK1,unclassified
CHEK2,cytosol
CHERP,nucleus
CHID1,ER
CHKA,cytosol
CHM,early_endosome
CHML,early_endosome
CHMP1A,cytosol
CHMP1A,cytosol
CHMP2A,early_endosome
CHMP2B,early_endosome
CHMP3,cytosol
CHMP4A,cytosol
CHMP4B,early_endosome
CHMP4C,unclassified
CHMP5,cytosol
CHMP6,plasma_membrane
CHMP7,cytosol
CHN1,cytosol
CHORDC1,cytosol
CHP1,ER
CHPF,Golgi
CHPF2,Golgi
CHPT1,ERGIC
CHRAC1,nucleus
CHST12,ER
CHST14,Golgi
CHSY1,Golgi
CHTF18,plasma_membrane
CHTF8,unclassified
CHTOP,nucleus
CHUK,cytosol
CHURC1,cytosol
CHURC1-FNTB,cytosol
CIAO1,cytosol
CIAO2A,cytosol
CIAO2B,cytosol
CIAO3,cytosol
CIAPIN1,cytosol
CIB1,plasma_membrane
CIBAR1,actin_cytoskeleton
CIC,nucleus
CINP,cytosol
CIP2A,cytosol
CIR1,nucleolus
CIRBP,nucleus
CISD1,mitochondrion
CISD2,ER
CIT,plasma_membrane
CIT,plasma_membrane
CIZ1,unclassified
CKAP2,translation
CKAP2L,nucleus
CKAP4,ER
CKAP5,unclassified
CKB,cytosol
CKM,cytosol
CKMT1A,mitochondrion
CKS1B,cytosol
CKS2,cytosol
CLASP1,14-3-3_scaffold
CLASP2,14-3-3_scaffold
CLASP2,14-3-3_scaffold
CLASRP,unclassified
CLCC1,ER
CLCN3,trans-Golgi
CLCN5,trans-Golgi
CLCN7,lysosome
CLDN12,plasma_membrane
CLDND1,plasma_membrane
CLEC16A,Golgi
CLGN,ER
CLIC1,cytosol
CLIC4,plasma_membrane
CLIC6,cytosol
CLINT1,early_endosome
CLIP1,cytosol
CLIP2,nucleus
CLK1,nucleus
CLK2,nucleus
CLK3,unclassified
CLK4,nucleus
CLMN,ER
CLN3,lysosome
CLN5,lysosome
CLN6,ER
CLN8,ER
CLNS1A,cytosol
CLP1,unclassified
CLPB,mitochondrion
CLPB,mitochondrion
CLPP,mitochondrion
CLPTM1,ER
CLPTM1L,ER
CLPX,mitochondrion
CLSPN,cytosol
CLSTN1,Golgi
CLTA,early_endosome
CLTB,early_endosome
CLTC,early_endosome
CLTCL1,early_endosome
CLUAP1,unclassified
CLUH,stress_granule
CLUH,stress_granule
CLYBL,mitochondrion
CMAS,nucleolus
CMBL,cytosol
CMC1,mitochondrion
CMC2,mitochondrion
CMC4,mitochondrion
CMIP,cytosol
CMPK1,cytosol
CMSS1,nucleus
CMTM4,recycling_endosome
CMTM6,plasma_membrane
CMTM7,recycling_endosome
CMTR1,cytosol
CNBP,stress_granule
CNDP2,cytosol
CNEP1R1,ER
CNIH4,ER
CNKSR3,plasma_membrane
CNN2,unclassified
CNN3,actin_cytoskeleton
CNNM2,plasma_membrane
CNNM3,plasma_membrane
CNNM4,plasma_membrane
CNOT1,stress_granule
CNOT10,stress_granule
CNOT11,stress_granule
CNOT2,stress_granule
CNOT3,stress_granule
CNOT4,stress_granule
CNOT6,stress_granule
CNOT6L,stress_granule
CNOT7,stress_granule
CNOT8,stress_granule
CNOT9,stress_granule
CNP,plasma_membrane
CNPY2,ER
CNPY2,ER
CNPY3,ER
CNPY4,ER
CNRIP1,cytosol
CNST,ER
CNTFR,plasma_membrane
CNTN1,plasma_membrane
CNTNAP1,unclassified
CNTNAP2,plasma_membrane
CNTRL,nucleus
CNTROB,centrosome
COA1,mitochondrion
COA3,mitochondrion
COA4,mitochondrion
COA5,nucleus
COA6,mitochondrion
COA7,mitochondrion
COASY,mitochondrion
COBL,actin_cytoskeleton
COBLL1,unclassified
COCH,early_endosome
COG1,Golgi
COG2,Golgi
COG3,Golgi
COG3,Golgi
COG4,Golgi
COG5,Golgi
COG5,Golgi
COG6,Golgi
COG7,Golgi
COG8,Golgi
COIL,nucleus
COL14A1,ER
COL18A1,ER
COL2A1,unclassified
COL4A1,ER
COL4A2,ER
COL6A1,ER
COL6A2,ER
COLEC12,recycling_endosome
COLGALT1,ER
COMMD1,early_endosome
COMMD10,early_endosome
COMMD2,early_endosome
COMMD3,cytosol
COMMD3-BMI1,early_endosome
COMMD4,early_endosome
COMMD5,early_endosome
COMMD6,early_endosome
COMMD7,early_endosome
COMMD8,early_endosome
COMMD9,early_endosome
COMT,ER
COMTD1,mitochondrion
COP1,unclassified
COPA,ERGIC
COPB1,ERGIC
COPB2,ERGIC
COPE,ERGIC
COPG1,ERGIC
COPG2,ERGIC
COPRS,cytosol
COPS2,cytosol
COPS3,cytosol
COPS4,cytosol
COPS5,cytosol
COPS6,cytosol
COPS7A,cytosol
COPS7B,cytosol
COPS8,cytosol
COPS9,cytosol
COPZ1,ERGIC
COQ3,mitochondrion
COQ5,mitochondrion
COQ6,mitochondrion
COQ7,mitochondrion
COQ8A,mitochondrion
COQ8B,mitochondrion
COQ9,mitochondrion
CORO1A,plasma_membrane
CORO1B,actin_cytoskeleton
CORO1C,actin_cytoskeleton
CORO2A,actin_cytoskeleton
CORO7,cytosol
COTL1,cytosol
COX10,nucleus
COX11,mitochondrion
COX15,mitochondrion
COX17,mitochondrion
COX19,mitochondrion
COX20,mitochondrion
COX4I1,mitochondrion
COX5A,mitochondrion
COX5B,mitochondrion
COX6A1,mitochondrion
COX6B1,mitochondrion
COX6C,mitochondrion
COX7A2,mitochondrion
COX7A2L,mitochondrion
COX7C,mitochondrion
COX8A,mitochondrion
CPD,trans-Golgi
CPE,early_endosome
CPEB4,stress_granule
CPLANE1,cytosol
CPNE1,cytosol
CPNE2,cytosol
CPNE3,cytosol
CPNE8,plasma_membrane
CPOX,mitochondrion
CPPED1,cytosol
CPS1,mitochondrion
CPSF1,nucleus
CPSF2,nucleus
CPSF3,nucleus
CPSF4,unclassified
CPSF6,nucleus
CPSF7,nucleus
CPT1A,ER
CPT2,mitochondrion
CPTP,cytosol
CPVL,lysosome
CRABP2,cytosol
CRACD,actin_cytoskeleton
CRACR2A,recycling_endosome
CRADD,cytosol
CRAMP1,nucleus
CRAT,mitochondrion
CRBN,unclassified
CRCP,cytosol
CREB1,nucleus
CREB5,nucleus
CREBBP,nucleus
CREG1,lysosome
CRELD1,ER
CRELD2,ER
CRIP2,plasma_membrane
CRK,cytosol
CRKL,cytosol
CRLF3,14-3-3_scaffold
CRMP1,cytosol
CRNKL1,nucleus
CROCC,centrosome
CROT,peroxisome
CRTAP,ER
CRTC1,14-3-3_scaffold
CRTC2,14-3-3_scaffold
CRTC3,14-3-3_scaffold
CRY1,cytosol
CRY2,cytosol
CRYBG3,cytosol
CRYGD,cytosol
CRYZ,mitochondrion
CRYZL1,early_endosome
CS,mitochondrion
CSAD,cytosol
CSDE1,stress_granule
CSE1L,cytosol
CSK,cytosol
CSNK1A1,nucleus
CSNK1A1,unclassified
CSNK1D,centrosome
CSNK1E,unclassified
CSNK1G2,recycling_endosome
CSNK1G3,recycling_endosome
CSNK2A1,cytosol
CSNK2A2,cytosol
CSNK2B,cytosol
CSPG4,plasma_membrane
CSPG5,plasma_membrane
CSPP1,centrosome
CSRP2,plasma_membrane
CST3,Golgi
CSTB,cytosol
CSTF1,nucleus
CSTF2,nucleus
CSTF2T,unclassified
CSTF3,nucleus
CSTPP1,cytosol
CT45A2,nucleus
CTBP1,nucleus
CTBP2,unclassified
CTC1,cytosol
CTCF,nucleus
CTDNEP1,ER
CTDP1,cytosol
CTDSPL,plasma_membrane
CTDSPL2,mitochondrion
CTH,cytosol
CTIF,cytosol
CTNNA1,plasma_membrane
CTNNA2,plasma_membrane
CTNNAL1,plasma_membrane
CTNNB1,plasma_membrane
CTNNBIP1,cytosol
CTNNBL1,nucleus
CTNND1,plasma_membrane
CTNND1,plasma_membrane
CTPS1,cytosol
CTPS2,cytosol
CTR9,nucleus
CTSA,lysosome
CTSB,lysosome
CTSC,lysosome
CTSD,lysosome
CTSH,lysosome
CTSL,lysosome
CTSV,lysosome
CTSZ,lysosome
CTTN,actin_cytoskeleton
CTTNBP2,actin_cytoskeleton
CTTNBP2NL,actin_cytoskeleton
CTU1,cytosol
CTU2,cytosol
CUEDC1,cytosol
CUEDC2,cytosol
CUL1,unclassified
CUL2,unclassified
CUL3,early_endosome
CUL4A,unclassified
CUL4B,cytosol
CUL4B,cytosol
CUL4B,cytosol
CUL5,cytosol
CUL7,plasma_membrane
CUL9,cytosol
CUSTOS,nucleolus
CUTA,unclassified
CUTC,nucleus
CUX1,Golgi
CUX1,Golgi
CUX1,Golgi
CWC15,nucleus
CWC22,nucleus
CWC25,nucleus
CWC27,nucleus
CWF19L1,unclassified
CWF19L2,nucleus
CXADR,plasma_membrane
CXorf38,cytosol
CXXC1,nucleus
CYB561D2,Golgi
CYB5A,ER
CYB5B,ER
CYB5R1,mitochondrion
CYB5R3,ER
CYB5R4,cytosol
CYBC1,ER
CYC1,mitochondrion
CYCS,mitochondrion
CYFIP1,actin_cytoskeleton
CYFIP2,actin_cytoskeleton
CYLD,cytosol
CYP20A1,ER
CYP20A1,ER
CYP27C1,nucleus
CYP2U1,ER
CYP51A1,ER
CYREN,cytosol
CYRIB,cytosol
CYSTM1,trans-Golgi
CYTH1,plasma_membrane
CZIB,cytosol
D2HGDH,mitochondrion
DAAM1,plasma_membrane
DAAM2,plasma_membrane
DAB2,plasma_membrane
DAB2IP,unclassified
DACH1,nucleus
DAD1,ER
DAG1,plasma_membrane
DAGLB,trans-Golgi
DALRD3,cytosol
DAP,cytosol
DAP3,mitochondrion
DAPK3,actin_cytoskeleton
DARS1,unclassified
DARS2,mitochondrion
DAXX,unclassified
DAZAP1,nucleus
DBI,cytosol
DBN1,actin_cytoskeleton
DBNDD1,cytosol
DBNL,actin_cytoskeleton
DBNL,actin_cytoskeleton
DBR1,unclassified
DBT,mitochondrion
DC2,ER
DCAF1,cytosol
DCAF10,cytosol
DCAF11,cytosol
DCAF12,nucleus
DCAF13,nucleolus
DCAF15,cytosol
DCAF16,cytosol
DCAF5,cytosol
DCAF6,cytosol
DCAF7,nucleus
DCAF8,unclassified
DCAKD,ER
DCBLD1,plasma_membrane
DCBLD2,plasma_membrane
DCK,cytosol
DCLK1,nucleus
DCP1A,p-body
DCP1B,p-body
DCP2,p-body
DCPS,cytosol
DCTD,cytosol
DCTN1,unclassified
DCTN2,unclassified
DCTN3,cytosol
DCTN4,unclassified
DCTN5,cytosol
DCTN6,early_endosome
DCTPP1,cytosol
DCUN1D1,unclassified
DCUN1D4,unclassified
DCUN1D5,nucleus
DCXR,mitochondrion
DDA1,cytosol
DDAH1,cytosol
DDAH2,plasma_membrane
DDB1,unclassified
DDB2,unclassified
DDHD1,cytosol
DDHD2,early_endosome
DDI2,proteasome
DDOST,ER
DDR2,cytosol
DDRGK1,ER
DDT,cytosol
DDX1,stress_granule
DDX10,nucleolus
DDX11,cytosol
DDX11L8,cytosol
DDX17,nucleus
DDX18,nucleolus
DDX19A,unclassified
DDX19A,unclassified
DDX19B,cytosol
DDX20,stress_granule
DDX21,nucleolus
DDX23,nucleus
DDX24,nucleolus
DDX27,nucleolus
DDX28,mitochondrion
DDX31,nucleolus
DDX39A,nucleus
DDX39B,nucleus
DDX3X,nucleus
DDX3X,unclassified
DDX41,nucleus
DDX42,nucleus
DDX46,nucleus
DDX46,nucleus
DDX47,nucleus
DDX49,nucleolus
DDX5,nucleus
DDX50,nucleolus
DDX51,nucleolus
DDX52,nucleolus
DDX54,nucleolus
DDX55,nucleolus
DDX56,nucleolus
DDX59,unclassified
DDX6,stress_granule
DEAF1,nucleus
DECR1,mitochondrion
DECR2,peroxisome
DEF6,14-3-3_scaffold
DEF8,lysosome
DEGS1,ER
DEK,nucleus
DENND10,early_endosome
DENND11,lysosome
DENND1A,14-3-3_scaffold
DENND2B,actin_cytoskeleton
DENND4A,early_endosome
DENND4B,unclassified
DENND4C,early_endosome
DENND5B,unclassified
DENND6A,plasma_membrane
DENR,unclassified
DEPDC1,unclassified
DEPDC1B,unclassified
DEPDC7,unclassified
DEPTOR,unclassified
DERA,cytosol
DERL1,ER
DERL2,ER
DERPC,nucleus
DESI1,cytosol
DESI2,ERGIC
DFFA,cytosol
DFFA,cytosol
DFFB,cytosol
DGAT1,ER
DGCR2,ER
DGCR6,unclassified
DGCR8,nucleolus
DGKA,unclassified
DGKD,unclassified
DGKE,ER
DGKH,cytosol
DGKQ,unclassified
DGKZ,cytosol
DGLUCY,mitochondrion
DGUOK,mitochondrion
DHCR24,ER
DHCR7,ER
DHDDS,ER
DHFR,unclassified
DHODH,mitochondrion
DHPS,cytosol
DHRS1,ER
DHRS11,cytosol
DHRS13,ER
DHRS3,ER
DHRS4,ER
DHRS7,ER
DHRS7B,ER
DHTKD1,mitochondrion
DHX15,nucleus
DHX16,unclassified
DHX29,stress_granule
DHX30,mitochondrion
DHX33,nucleolus
DHX34,unclassified
DHX35,nucleus
DHX36,stress_granule
DHX37,nucleolus
DHX38,cytosol
DHX40,nucleus
DHX57,stress_granule
DHX8,nucleolus
DHX9,nucleus
DIABLO,mitochondrion
DIAPH1,cytosol
DIAPH2,cytosol
DIAPH3,nucleus
DICER1,stress_granule
DIDO1,nucleus
DIMT1,nucleolus
DIP2A,cytosol
DIP2B,plasma_membrane
DIP2C,plasma_membrane
DIPK1A,Golgi
DIPK2A,Golgi
DIRAS1,plasma_membrane
DIS3,cytosol
DIS3L,cytosol
DIS3L2,cytosol
DISC1,early_endosome
DKC1,nucleolus
DKFZp686A13234,nucleus
DKFZp686A1765,early_endosome
DKFZp686K101,plasma_membrane
DKFZp686M0430,actin_cytoskeleton
DKFZp686M0619,ER
DKFZp761I2124,cytosol
DKFZp781F05101,stress_granule
DLAT,mitochondrion
DLD,mitochondrion
DLG1,plasma_membrane
DLG1,plasma_membrane
DLG3,plasma_membrane
DLG5,plasma_membrane
DLGAP4,plasma_membrane
DLGAP5,nucleus
DLST,mitochondrion
DLX2,nucleus
DLX6,nucleus
DMAC1,mitochondrion
DMAC2,mitochondrion
DMAC2L,mitochondrion
DMAP1,nucleus
DMD,plasma_membrane
DMD,plasma_membrane
DMTF1,unclassified
DMXL1,nucleus
DMXL2,nucleus
DNA2,cytosol
DNAAF10,translation
DNAAF2,cytosol
DNAAF5,cytosol
DNAJA1,unclassified
DNAJA2,unclassified
DNAJA3,mitochondrion
DNAJB1,cytosol
DNAJB11,ER
DNAJB12,ER
DNAJB14,ER
DNAJB2,unclassified
DNAJB4,cytosol
DNAJB5,unclassified
DNAJB6,unclassified
DNAJB6,unclassified
DNAJC1,ER
DNAJC10,ER
DNAJC11,mitochondrion
DNAJC12,cytosol
DNAJC13,trans-Golgi
DNAJC14,ER
DNAJC16,ER
DNAJC17,unclassified
DNAJC19,mitochondrion
DNAJC2,stress_granule
DNAJC21,translation
DNAJC24,cytosol
DNAJC25-GNG10,plasma_membrane
DNAJC3,ER
DNAJC30,mitochondrion
DNAJC5,plasma_membrane
DNAJC6,unclassified
DNAJC7,cytosol
DNAJC8,unclassified
DNAJC9,nucleus
DNAL1,cytosol
DNASE2,lysosome
DNLZ,mitochondrion
DNM1,early_endosome
DNM1L,cytosol
DNM1L,cytosol
DNM2,actin_cytoskeleton
DNM3,actin_cytoskeleton
DNMBP,actin_cytoskeleton
DNMT1,nucleus
DNMT1,nucleus
DNMT3A,nucleus
DNMT3B,nucleus
DNPEP,cytosol
DNPH1,cytosol
DNTTIP1,nucleus
DNTTIP2,nucleolus
DNTTIP2,nucleolus
DOCK1,plasma_membrane
DOCK11,actin_cytoskeleton
DOCK4,plasma_membrane
DOCK5,plasma_membrane
DOCK6,ER
DOCK7,ER
DOCK9,plasma_membrane
DOHH,cytosol
DOK1,cytosol
DOLPP1,ER
DONSON,unclassified
DONSON,unclassified
DOP1A,14-3-3_scaffold
DOP1B,cytosol
DOT1L,nucleus
DPAGT1,ER
DPCD,cytosol
DPF1,nucleus
DPF2,nucleus
DPF3,nucleus
DPH1,cytosol
DPH2,cytosol
DPH3,cytosol
DPH5,cytosol
DPH6,cytosol
DPH7,cytosol
DPM1,ER
DPM3,ER
DPP3,cytosol
DPP9,cytosol
DPY19L1,ER
DPY19L3,ER
DPY30,nucleus
DPYSL2,cytosol
DPYSL4,cytosol
DPYSL5,cytosol
DR1,unclassified
DRAM2,lysosome
DRAP1,unclassified
DRG1,translation
DRG2,unclassified
DRIP4,cytosol
DROSHA,nucleolus
DSC2,plasma_membrane
DSC3,plasma_membrane
DSCC1,unclassified
DSE,Golgi
DSG2,plasma_membrane
DSN1,unclassified
DSP,unclassified
DST,plasma_membrane
DST,plasma_membrane
DSTN,actin_cytoskeleton
DSTYK,unclassified
DTD1,mitochondrion
DTL,unclassified
DTNA,actin_cytoskeleton
DTNB,plasma_membrane
DTNBP1,trans-Golgi
DTWD1,cytosol
DTWD2,cytosol
DTX2,unclassified
DTYMK,mitochondrion
DUS1L,cytosol
DUS2,cytosol
DUS3L,cytosol
DUSP11,nucleus
DUSP12,unclassified
DUSP14,nucleus
DUSP19,unclassified
DUSP22,unclassified
DUSP3,cytosol
DUSP9,cytosol
DUT,cytosol
DUT,cytosol
DVL1,cytosol
DVL2,cytosol
DXO,unclassified
DYM,Golgi
DYNC1H1,unclassified
DYNC1I2,cytosol
DYNC1I2,unclassified
DYNC1LI1,unclassified
DYNC1LI2,unclassified
DYNC2H1,unclassified
DYNC2I1,nucleus
DYNC2I2,unclassified
DYNC2LI1,unclassified
DYNLL1,unclassified
DYNLL2,unclassified
DYNLRB1,unclassified
DYNLT1,unclassified
DYNLT2B,translation
DYNLT3,unclassified
DYRK1A,14-3-3_scaffold
DZIP3,stress_granule
E2F1,nucleus
E2F3,nucleus
E2F4,unclassified
E2F5,nucleus
E2F6,nucleus
E2F7,14-3-3_scaffold
E2F8,14-3-3_scaffold
E2k,unclassified
E4F1,unclassified
EAF1,unclassified
EAPP,cytosol
EARS2,mitochondrion
EBAG9,Golgi
EBF3,nucleus
EBNA1BP2,nucleolus
EBP,ER
ECD,cytosol
ECE1,recycling_endosome
ECH1,mitochondrion
ECHDC1,mitochondrion
ECHS1,mitochondrion
ECI1,mitochondrion
ECI2,peroxisome
ECPAS,proteasome
ECSIT,mitochondrion
ECT2,nucleolus
EDARADD,cytosol
EDC3,p-body
EDC4,p-body
EDEM3,ER
EDF1,stress_granule
EDRF1,unclassified
EEA1,early_endosome
EED,nucleus
EEF1A1,unclassified
EEF1A2,unclassified
EEF1AKMT1,cytosol
EEF1AKMT2,cytosol
EEF1B2,unclassified
EEF1D,cytosol
EEF1D,nucleus
EEF1D,unclassified
EEF1D,unclassified
EEF1E1,unclassified
EEF1G,unclassified
EEF2,cytosol
EEF2K,cytosol
EEF2KMT,cytosol
EEFSEC,nucleus
EEPD1,plasma_membrane
EFHD1,actin_cytoskeleton
EFHD2,actin_cytoskeleton
EFL1,cytosol
EFNA5,trans-Golgi
EFNB1,plasma_membrane
EFNB2,plasma_membrane
EFNB3,plasma_membrane
EFR3A,plasma_membrane
EFTUD2,nucleus
EGFL7,ERGIC
EGFR,plasma_membrane
EGLN1,nucleus
EHBP1,cytosol
EHBP1L1,plasma_membrane
EHD1,plasma_membrane
EHD2,plasma_membrane
EHD3,plasma_membrane
EHD4,plasma_membrane
EHHADH,peroxisome
EHMT1,nucleus
EHMT2,nucleus
EI24,ER
EIF1,translation
EIF1AD,cytosol
EIF1AY,stress_granule
EIF2A,stress_granule
EIF2AK1,cytosol
EIF2AK2,stress_granule
EIF2AK3,ER
EIF2AK4,unclassified
EIF2B1,unclassified
EIF2B2,unclassified
EIF2B3,unclassified
EIF2B4,cytosol
EIF2B4,unclassified
EIF2B5,unclassified
EIF2D,stress_granule
EIF2S1,translation
EIF2S2,stress_granule
EIF2S3,translation
EIF3A,stress_granule
EIF3B,stress_granule
EIF3C,stress_granule
EIF3D,stress_granule
EIF3E,stress_granule
EIF3F,translation
EIF3G,stress_granule
EIF3H,stress_granule
EIF3I,stress_granule
EIF3J,stress_granule
EIF3K,translation
EIF3L,stress_granule
EIF3M,translation
EIF4A1,stress_granule
EIF4A2,stress_granule
EIF4A3,nucleus
EIF4B,stress_granule
EIF4E,stress_granule
EIF4E2,stress_granule
EIF4E3,cytosol
EIF4EBP1,cytosol
EIF4EBP2,cytosol
EIF4ENIF1,p-body
EIF4G1,stress_granule
EIF4G1,stress_granule
EIF4G2,stress_granule
EIF4G3,stress_granule
EIF4H,translation
EIF5,stress_granule
EIF5A,unclassified
EIF5A2,cytosol
EIF5B,stress_granule
EIF6,unclassified
EIPR1,unclassified
ELAC2,mitochondrion
ELAC2,mitochondrion
ELAVL1,nucleus
ELAVL2,stress_granule
ELF1,nucleus
ELF2,nucleus
ELF2,nucleus
ELK1,nucleus
ELL,unclassified
ELMO2,cytosol
ELMOD2,ER
ELOA,nucleolus
ELOB,unclassified
ELOC,unclassified
ELOF1,nucleus
ELOVL1,ER
ELOVL5,ER
ELOVL6,unclassified
ELOVL7,ER
ELP1,cytosol
ELP2,cytosol
ELP3,cytosol
ELP4,cytosol
ELP5,cytosol
ELP6,cytosol
EMB,plasma_membrane
EMC1,ER
EMC10,ER
EMC2,ER
EMC3,ER
EMC4,ER
EMC6,ER
EMC7,ER
EMC8,ER
EMC9,ER
EMD,ER
EME1,nucleus
EMG1,nucleolus
EML1,unclassified
EML2,cytosol
EML3,14-3-3_scaffold
EML4,cytosol
EMSY,nucleus
EN2,nucleus
ENAH,actin_cytoskeleton
ENAH,actin_cytoskeleton
ENDOD1,ER
ENDOG,mitochondrion
ENGASE,unclassified
ENKD1,unclassified
ENO1,cytosol
ENO1,cytosol
ENO2,cytosol
ENOPH1,cytosol
ENOSF1,cytosol
ENPP1,plasma_membrane
ENPP4,lysosome
ENSA,cytosol
ENTPD6,ER
ENTR1,early_endosome
ENY2,unclassified
EOGT,ER
EP300,nucleus
EP400,nucleus
EP400P1,nucleus
EPB41,actin_cytoskeleton
EPB41,actin_cytoskeleton
EPB41L1,plasma_membrane
EPB41L2,actin_cytoskeleton
EPB41L2,actin_cytoskeleton
EPB41L3,actin_cytoskeleton
EPB41L3,actin_cytoskeleton
EPB41L5,plasma_membrane
EPC1,plasma_membrane
EPC2,nucleus
EPHA2,plasma_membrane
EPHA3,plasma_membrane
EPHA4,plasma_membrane
EPHA7,plasma_membrane
EPHB2,plasma_membrane
EPHB4,plasma_membrane
EPHX1,ER
EPHX2,peroxisome
EPHX4,ER
EPN1,actin_cytoskeleton
EPN2,plasma_membrane
EPPK1,cytosol
EPRS1,cytosol
EPS15,actin_cytoskeleton
EPS15L1,actin_cytoskeleton
EPS15L1,actin_cytoskeleton
EPS8,plasma_membrane
ERAL1,mitochondrion
ERAP1,ER
ERBB2,plasma_membrane
ERBIN,plasma_membrane
ERC1,actin_cytoskeleton
ERCC1,unclassified
ERCC2,nucleus
ERCC3,nucleolus
ERCC4,unclassified
ERCC5,unclassified
ERCC6,nucleus
ERCC6L,unclassified
ERCC8,cytosol
ERF,nucleus
ERG28,ER
ERGIC1,ERGIC
ERGIC2,Golgi
ERGIC3,ERGIC
ERH,nucleus
ERI1,nucleus
ERI3,unclassified
ERICH1,unclassified
ERICH5,plasma_membrane
ERLEC1,ER
ERLIN1,ER
ERLIN2,ER
ERMP1,ER
ERN1,ER
ERO1A,ER
ERO1B,ER
ERP29,ER
ERP44,ERGIC
ERVK3-1,cytosol
ESCO1,nucleus
ESCO2,nucleus
ESD,cytosol
ESF1,nucleolus
ESPL1,cytosol
ESPNL,cytosol
ESPNL,cytosol
ESRRA,nucleus
ESRRG,nucleus
ESS2,unclassified
ESYT1,ER
ESYT1,ER
ESYT2,ER
ETAA1,nucleus
ETF1,unclassified
ETFA,mitochondrion
ETFB,mitochondrion
ETFDH,mitochondrion
ETHE1,mitochondrion
ETNK1,ER
ETV3,nucleolus
EVA1B,plasma_membrane
EVI5,cytosol
EVI5L,cytosol
EVL,actin_cytoskeleton
EWSR1,nucleus
EWSR1,nucleus
EXD2,mitochondrion
EXD2,mitochondrion
EXO1,14-3-3_scaffold
